자치구명,범죄대분류,범죄중분류,발생건수
노원구,노동범죄,노동범죄,0
노원구,안보범죄,안보범죄,1
노원구,선거범죄,선거범죄,1
노원구,병역범죄,병역범죄,44
노원구,기타범죄,기타범죄,993
은평구,강력범죄,살인기수,2
은평구,강력범죄,살인미수등,5
은평구,강력범죄,강도,3
은평구,강력범죄,강간,30
은평구,강력범죄,유사강간,7
은평구,강력범죄,강제추행,112
은평구,강력범죄,기타 강간 강제추행등,1
은평구,강력범죄,방화,10
은평구,절도범죄,절도범죄,1612
은평구,폭력범죄,상해,118
은평구,폭력범죄,폭행,920
은평구,폭력범죄,체포감금,5
은평구,폭력범죄,협박,170
은평구,폭력범죄,약취 유인,2
은평구,폭력범죄,폭력행위등,37
은평구,폭력범죄,공갈,34
은평구,폭력범죄,손괴,425
은평구,지능범죄,직무유기,5
은평구,지능범죄,직권남용,17
은평구,지능범죄,증수뢰,4
은평구,지능범죄,통화,4
은평구,지능범죄,문서 인장,62
은평구,지능범죄,유가증권인지,1
은평구,지능범죄,사기,2478
은평구,지능범죄,횡령,445
은평구,지능범죄,배임,23
은평구,풍속범죄,성풍속범죄,159
은평구,풍속범죄,도박범죄,23
은평구,특별경제범죄,특별경제범죄,454
은평구,마약범죄,마약범죄,59
은평구,보건범죄,보건범죄,63
은평구,환경범죄,환경범죄,0
은평구,교통범죄,교통범죄,1003
은평구,노동범죄,노동범죄,0
은평구,안보범죄,안보범죄,0
은평구,선거범죄,선거범죄,0
은평구,병역범죄,병역범죄,57
은평구,기타범죄,기타범죄,1555
서대문구,강력범죄,살인기수,0
서대문구,강력범죄,살인미수등,5
서대문구,강력범죄,강도,0
서대문구,강력범죄,강간,46
서대문구,강력범죄,유사강간,12
서대문구,강력범죄,강제추행,97
서대문구,강력범죄,기타 강간 강제추행등,1
서대문구,강력범죄,방화,4
서대문구,절도범죄,절도범죄,1190
서대문구,폭력범죄,상해,74
서대문구,폭력범죄,폭행,495
서대문구,폭력범죄,체포감금,1
서대문구,폭력범죄,협박,114
서대문구,폭력범죄,약취 유인,1
서대문구,폭력범죄,폭력행위등,32
서대문구,폭력범죄,공갈,68
서대문구,폭력범죄,손괴,241
서대문구,지능범죄,직무유기,6
서대문구,지능범죄,직권남용,9
서대문구,지능범죄,증수뢰,1
서대문구,지능범죄,통화,4
서대문구,지능범죄,문서 인장,38
서대문구,지능범죄,유가증권인지,0
서대문구,지능범죄,사기,1518
서대문구,지능범죄,횡령,486
서대문구,지능범죄,배임,16
서대문구,풍속범죄,성풍속범죄,110
서대문구,풍속범죄,도박범죄,14
서대문구,특별경제범죄,특별경제범죄,297
서대문구,마약범죄,마약범죄,52
서대문구,보건범죄,보건범죄,34
서대문구,환경범죄,환경범죄,3
서대문구,교통범죄,교통범죄,692
서대문구,노동범죄,노동범죄,3
서대문구,안보범죄,안보범죄,12
서대문구,선거범죄,선거범죄,1
서대문구,병역범죄,병역범죄,24
서대문구,기타범죄,기타범죄,1115
마포구,강력범죄,살인기수,2
마포구,강력범죄,살인미수등,1
마포구,강력범죄,강도,4
마포구,강력범죄,강간,88
마포구,강력범죄,유사강간,12
마포구,강력범죄,강제추행,354
마포구,강력범죄,기타 강간 강제추행등,1
마포구,강력범죄,방화,9
마포구,절도범죄,절도범죄,1479
마포구,폭력범죄,상해,154
마포구,폭력범죄,폭행,1157
마포구,폭력범죄,체포감금,10
마포구,폭력범죄,협박,163
마포구,폭력범죄,약취 유인,1
마포구,폭력범죄,폭력행위등,52
마포구,폭력범죄,공갈,46
마포구,폭력범죄,손괴,329
마포구,지능범죄,직무유기,16
마포구,지능범죄,직권남용,21
마포구,지능범죄,증수뢰,5
마포구,지능범죄,통화,11
마포구,지능범죄,문서 인장,92
마포구,지능범죄,유가증권인지,1
마포구,지능범죄,사기,1801
마포구,지능범죄,횡령,1104
마포구,지능범죄,배임,47
마포구,풍속범죄,성풍속범죄,290
마포구,풍속범죄,도박범죄,25
마포구,특별경제범죄,특별경제범죄,530
마포구,마약범죄,마약범죄,273
마포구,보건범죄,보건범죄,262
마포구,환경범죄,환경범죄,1
마포구,교통범죄,교통범죄,1565
마포구,노동범죄,노동범죄,1
마포구,안보범죄,안보범죄,1
마포구,선거범죄,선거범죄,0
마포구,병역범죄,병역범죄,54
마포구,기타범죄,기타범죄,2380
양천구,강력범죄,살인기수,3
양천구,강력범죄,살인미수등,2
양천구,강력범죄,강도,2
양천구,강력범죄,강간,32
양천구,강력범죄,유사강간,5
양천구,강력범죄,강제추행,74
양천구,강력범죄,기타 강간 강제추행등,0
양천구,강력범죄,방화,5
양천구,절도범죄,절도범죄,1411
양천구,폭력범죄,상해,89
양천구,폭력범죄,폭행,790
양천구,폭력범죄,체포감금,10
양천구,폭력범죄,협박,173
양천구,폭력범죄,약취 유인,3
양천구,폭력범죄,폭력행위등,39
양천구,폭력범죄,공갈,23
양천구,폭력범죄,손괴,363
양천구,지능범죄,직무유기,21
양천구,지능범죄,직권남용,10
양천구,지능범죄,증수뢰,1
양천구,지능범죄,통화,7
양천구,지능범죄,문서 인장,89
양천구,지능범죄,유가증권인지,1
양천구,지능범죄,사기,1647
양천구,지능범죄,횡령,424
양천구,지능범죄,배임,19
양천구,풍속범죄,성풍속범죄,131
양천구,풍속범죄,도박범죄,16
양천구,특별경제범죄,특별경제범죄,375
양천구,마약범죄,마약범죄,50
양천구,보건범죄,보건범죄,44
양천구,환경범죄,환경범죄,3
양천구,교통범죄,교통범죄,858
양천구,노동범죄,노동범죄,0
양천구,안보범죄,안보범죄,14
양천구,선거범죄,선거범죄,1
양천구,병역범죄,병역범죄,67
양천구,기타범죄,기타범죄,1727
강서구,강력범죄,살인기수,0
