자치구명,시간대,국적,분류,생활인구밀도
종로구,06-12시,내국인,총,12522.248399826974
종로구,12-18시,내국인,총,15612.728750785383
종로구,18-24시,내국인,총,11068.882980512924
중구,00-06시,내국인,총,17692.641224752893
중구,06-12시,내국인,총,28909.63900188883
중구,12-18시,내국인,총,36630.98095326511
중구,18-24시,내국인,총,23000.862984981017
중랑구,00-06시,내국인,총,21006.861015702827
중랑구,06-12시,내국인,총,18948.061004233
중랑구,12-18시,내국인,총,17713.43658024929
중랑구,18-24시,내국인,총,19968.911227794644
강남구,00-06시,외국인,TEMP,387.8116742188313
강남구,06-12시,외국인,TEMP,379.3569817501879
강남구,12-18시,외국인,TEMP,398.69729122940873
강남구,18-24시,외국인,TEMP,400.4682266158026
강동구,00-06시,외국인,TEMP,72.8940483658019
강동구,06-12시,외국인,TEMP,72.65400369344928
강동구,12-18시,외국인,TEMP,69.84533803138596
강동구,18-24시,외국인,TEMP,71.11575004688768
강북구,00-06시,외국인,TEMP,43.47028546165158
강북구,06-12시,외국인,TEMP,42.691076919356085
강북구,12-18시,외국인,TEMP,40.44309871140004
강북구,18-24시,외국인,TEMP,41.65696737288136
강서구,00-06시,외국인,TEMP,109.57797434660232
강서구,06-12시,외국인,TEMP,117.4231571844826
강서구,12-18시,외국인,TEMP,116.99237281645377
강서구,18-24시,외국인,TEMP,110.34176656476691
관악구,00-06시,외국인,TEMP,95.98094809005175
관악구,06-12시,외국인,TEMP,94.64095700473916
관악구,12-18시,외국인,TEMP,90.8524668899585
관악구,18-24시,외국인,TEMP,93.06729002305497
광진구,00-06시,외국인,TEMP,191.3942834690349
광진구,06-12시,외국인,TEMP,186.8181438784414
광진구,12-18시,외국인,TEMP,187.17280830215145
광진구,18-24시,외국인,TEMP,195.39397803080183
구로구,00-06시,외국인,TEMP,266.4914969656944
구로구,06-12시,외국인,TEMP,253.228466164202
구로구,12-18시,외국인,TEMP,242.27303838158264
구로구,18-24시,외국인,TEMP,260.3353016989388
금천구,00-06시,외국인,TEMP,153.93488670047486
금천구,06-12시,외국인,TEMP,154.72341031710965
