자치구명,시간대,내국인_고령,내국인_생산가능,내국인_유소년,내국인_총,외국인_LONG,외국인_TEMP,총_인구밀도,유소년_인구밀도,생산가능_인구밀도,고령_인구밀도
도봉구,18-24시,3793.668890386635,3453.539410039029,6586.697533065773,13833.905833491435,131.8824368370427,35.28108081196723,15205,1862,9807,3132
동대문구,00-06시,5421.576667620368,7905.077965316712,12790.217830241028,26116.872463178108,1889.6970439280965,325.672027634883,24873,2983,17118,4358
동대문구,06-12시,5629.091430405435,7759.391416026047,12687.58238719342,26076.0652336249,1839.625413640188,320.47886674822905,24873,2983,17118,4358
동대문구,12-18시,5883.635396268038,7339.389625085897,12235.87815059181,25458.903171945745,1654.8975283252732,305.38682446101376,24873,2983,17118,4358
동대문구,18-24시,5504.189722263966,7567.068835426981,12397.955978247885,25469.21453593883,1712.1269962718916,309.51360598295537,24873,2983,17118,4358
동작구,00-06시,5183.660404371952,7649.072190198279,12677.09061848143,25509.82321305165,930.3807852681114,178.251632272164,23870,2964,16682,4064
동작구,06-12시,4905.134234046176,7095.974338996439,11961.678432704224,23962.787005746835,891.3807117035648,176.27477812573264,23870,2964,16682,4064
동작구,12-18시,4728.855611866564,6512.678760717755,11211.524447670005,22453.05882025433,838.1717604302733,173.88175053588773,23870,2964,16682,4064
동작구,18-24시,5110.237457296446,7292.306519732949,12184.097561177725,24586.641538207125,868.0172560706033,177.31448855377295,23870,2964,16682,4064
마포구,00-06시,3009.93456743536,5784.071458749988,9106.50882518978,17900.514851375126,816.7544375788557,484.02403772627633,15745,2040,10946,2233
마포구,06-12시,3108.942524576166,6120.411053385409,9501.95087387496,18731.30445183653,824.0262089524518,450.44974160228975,15745,2040,10946,2233
마포구,12-18시,3109.3881016819346,6880.398727141667,10554.494015373864,20544.280844197467,860.4577947024304,410.43305878253534,15745,2040,10946,2233
마포구,18-24시,3044.0989840000766,6548.982573881661,10114.591273582031,19707.672831463773,870.9319816126284,483.6724032700574,15745,2040,10946,2233
서대문구,00-06시,4087.9060074074655,6367.513719277798,10440.104564093996,20895.524290779264,1169.5586783269491,504.48478790044993,18129,2387,12524,3021
서대문구,06-12시,4070.767767993536,6668.068527069622,10780.87214571986,21519.70844078301,1184.441929735274,486.4185868991472,18129,2387,12524,3021
서대문구,12-18시,3995.31409358529,6793.278383279331,10874.95113691637,21663.543613781,1118.0406904793356,431.3042621206589,18129,2387,12524,3021
서대문구,18-24시,4070.028549216907,6368.28176967705,10397.501209279017,20835.811528172973,1105.144444077525,442.6984699725717,18129,2387,12524,3021
서초구,00-06시,1864.5787696888035,2926.8091533671063,5385.701829765039,10177.08975282095,200.64288980044583,131.5899913283812,8696,1458,5453,1264
서초구,06-12시,2208.8419054783826,3849.8548159905818,6499.525608268369,12558.222329737337,292.4734570973603,130.15327444118125,8696,1458,5453,1264
서초구,12-18시,2337.4075809381875,4403.620141514598,7169.639990861746,13910.667713314531,341.1244603288022,133.83956488791543,8696,1458,5453,1264
서초구,18-24시,2000.7684300811843,3514.68076843278,6111.220225459173,11626.66942397314,257.8313449768287,135.39739991911674,8696,1458,5453,1264
성동구,00-06시,3895.4937312560064,5991.072957147666,9865.474237176875,19752.04092558055,927.021071509238,182.48497068884072,17136,2181,11889,2740
성동구,06-12시,4045.282891304112,6569.270313371774,10540.775983923248,21155.32918859913,956.2158262559792,186.9442878884129,17136,2181,11889,2740
성동구,12-18시,4017.059598914642,6930.621545873851,10974.710052104205,21922.39119689269,976.3257847745942,210.36831912161537,17136,2181,11889,2740
성동구,18-24시,3951.534049090831,6422.779160099685,10376.797727156734,20751.11093634725,944.1633847697076,194.40263827580776,17136,2181,11889,2740
성북구,00-06시,3847.087519736133,5397.934475562046,9597.22434871875,18842.246344016927,625.0706662598319,134.37033653785423,17983,2610,12092,3019
성북구,06-12시,3627.360274266119,4992.232678999892,9012.63031984648,17632.223273112493,636.0197215949412,136.22528718451724,17983,2610,12092,3019
성북구,12-18시,3499.5265100259708,4685.678355718537,8599.599049522387,16784.803915266893,598.9767696701851,130.28984773417153,17983,2610,12092,3019
성북구,18-24시,3808.006384354879,5131.57679625006,9250.269152433022,18189.85233303796,600.3768004633088,132.16838126925035,17983,2610,12092,3019
송파구,00-06시,4362.475818532235,6293.867809575024,11509.152743882518,22165.49637198977,366.6511735186773,138.05939047295584,19616,2955,12938,2909
송파구,06-12시,4364.886217039188,6305.886406458734,11546.927287776358,22217.69991127428,390.0043970796741,138.15087590232517,19616,2955,12938,2909
송파구,12-18시,4305.057934492137,6446.248439730879,11841.595165305427,22592.901539528444,416.2901164356606,163.92902734874093,19616,2955,12938,2909
송파구,18-24시,4366.25535535438,6473.251535092968,11777.84970617759,22617.356596624937,395.6377969936871,158.52866751845085,19616,2955,12938,2909
양천구,00-06시,4691.250113213683,6130.927047353775,12247.339004983229,23069.516165550685,277.56004942312586,80.03324800211918,25509,4231,16431,3974
양천구,06-12시,4401.758907151981,5476.005090057412,11433.975315954982,21311.739313164377,281.5865462613992,80.1618881055605,25509,4231,16431,3974
양천구,12-18시,4292.330195927392,5087.709652194325,11045.991745726884,20426.0315938486,285.482053818857,78.4940031735291,25509,4231,16431,3974
양천구,18-24시,4643.58105709205,5812.042771985869,12056.64457270398,22512.268401781894,279.7297383858015,79.69310086052471,25509,4231,16431,3974
영등포구,00-06시,3367.390416988905,5279.093917847278,8465.092754624335,17111.57708946052,1739.488444919975,264.1052079439035,16215,1920,11672,2699
영등포구,06-12시,3686.647005896084,6378.331735449971,9714.75314365613,19779.731885002184,1453.1910921035255,257.8458357968548,16215,1920,11672,2699
영등포구,12-18시,3895.950263181095,7075.033330390872,10599.536577403303,21570.52017097527,1550.75384314929,264.1676559495578,16215,1920,11672,2699
영등포구,18-24시,3509.6594628016624,5941.436561234644,9265.884956636815,18716.98098067312,1785.5008864120375,272.4137306289466,16215,1920,11672,2699
용산구,00-06시,2338.3654817257643,3801.370723549075,5978.551206320871,12118.28741159571,786.8837849872534,271.6122143133042,10668,1233,7117,1662
용산구,06-12시,2541.315667426658,4314.808205613077,6606.142154988068,13462.2660280278,769.5806657375567,256.5741286660696,10668,1233,7117,1662
용산구,12-18시,2548.163222785952,4752.029424087541,7090.524318252522,14390.716965126012,784.7020173273786,257.2203379976741,10668,1233,7117,1662
용산구,18-24시,2374.02757287667,4267.40918005107,6459.188163600604,13100.624916528344,809.1928870870419,271.8040799744443,10668,1233,7117,1662
은평구,00-06시,3726.3680523999888,4520.229134564104,8102.54051987477,16349.137706838865,199.5535658642371,48.52968680655776,15838,2079,10392,2925
은평구,06-12시,3421.5240598786754,3888.815533511924,7268.061695912849,14578.401289303449,196.7269828217672,48.19974160568909,15838,2079,10392,2925
은평구,12-18시,3301.340934165733,3392.383513330536,6636.308659326303,13330.033106822571,175.74660211265984,45.16032182789799,15838,2079,10392,2925
은평구,18-24시,3647.086197462841,4113.460101206641,7577.253018804301,15337.799317473784,186.9964016113142,46.31959290031953,15838,2079,10392,2925
중구,00-06시,3443.7000478030845,5725.95404850452,8522.987128445287,17692.641224752893,1593.63992418991,2138.270502879096,13131,1303,8891,2339
중구,06-12시,5275.85973847903,9881.436217628505,13752.343045781296,28909.63900188883,1832.733935041536,1979.5308719077216,13131,1303,8891,2339
중구,12-18시,6444.188052924024,12840.144243650398,17346.64865669069,36630.98095326511,2220.179057568172,1767.905195077112,13131,1303,8891,2339
중구,18-24시,4032.3123230043457,7867.330020392071,11101.2206415846,23000.862984981017,1858.293652060296,2009.199241633199,13131,1303,8891,2339
중랑구,00-06시,5042.030676179193,5811.078131780822,10153.752207742811,21006.861015702827,344.9779704973467,49.34457805504134,21092,2432,14244,3894
중랑구,06-12시,4648.217432044921,5099.730038020486,9200.11353416759,18948.061004233,307.3474589830927,48.34017675922498,21092,2432,14244,3894
중랑구,12-18시,4560.6451954313225,4586.867839316303,8565.923545501666,17713.43658024929,280.4924825990374,45.866667851413055,21092,2432,14244,3894
중랑구,18-24시,4972.5315143922,5388.371033614711,9608.008679787732,19968.911227794644,322.88259010736766,47.36023779094163,21092,2432,14244,3894
