자치구명,시간대,국적,분류,생활인구밀도
마포구,심야,외국인,TEMP,482.29
마포구,야간,외국인,TEMP,492.83
마포구,주간,외국인,TEMP,427.6
양천구,심야,외국인,TEMP,80.05
양천구,야간,외국인,TEMP,79.99
양천구,주간,외국인,TEMP,79.17
강서구,심야,외국인,TEMP,109.91
강서구,야간,외국인,TEMP,109.9
강서구,주간,외국인,TEMP,117.26
구로구,심야,외국인,TEMP,265.7
구로구,야간,외국인,TEMP,262.23
구로구,주간,외국인,TEMP,246.92
금천구,심야,외국인,TEMP,153.75
금천구,야간,외국인,TEMP,154.13
금천구,주간,외국인,TEMP,155.18
영등포구,심야,외국인,TEMP,263.55
영등포구,야간,외국인,TEMP,271.67
영등포구,주간,외국인,TEMP,262.33
동작구,심야,외국인,TEMP,178.1
동작구,야간,외국인,TEMP,177.97
동작구,주간,외국인,TEMP,174.82
관악구,심야,외국인,TEMP,95.91
관악구,야간,외국인,TEMP,93.58
관악구,주간,외국인,TEMP,92.33
서초구,심야,외국인,TEMP,131.19
서초구,야간,외국인,TEMP,135.36
서초구,주간,외국인,TEMP,132.56
강남구,심야,외국인,TEMP,387.16
강남구,야간,외국인,TEMP,400
강남구,주간,외국인,TEMP,390.66
송파구,심야,외국인,TEMP,137.85
송파구,야간,외국인,TEMP,156.12
송파구,주간,외국인,TEMP,153.87
강동구,심야,외국인,TEMP,72.91
강동구,야간,외국인,TEMP,71.45
강동구,주간,외국인,TEMP,70.95
종로구,심야,외국인,LONG,636.1
종로구,야간,외국인,LONG,666.64
종로구,주간,외국인,LONG,736.32
중구,심야,외국인,LONG,1587.12
중구,야간,외국인,LONG,1821.71
중구,주간,외국인,LONG,2067.55
용산구,심야,외국인,LONG,786.62
용산구,야간,외국인,LONG,809.61
용산구,주간,외국인,LONG,778.98
성동구,심야,외국인,LONG,928
성동구,야간,외국인,LONG,939.9
성동구,주간,외국인,LONG,968.9
광진구,심야,외국인,LONG,1344.32
광진구,야간,외국인,LONG,1304.96
광진구,주간,외국인,LONG,1175.61
동대문구,심야,외국인,LONG,1893.98
동대문구,야간,외국인,LONG,1731.72
동대문구,주간,외국인,LONG,1721.8
중랑구,심야,외국인,LONG,344.4
중랑구,야간,외국인,LONG,327.14
중랑구,주간,외국인,LONG,290.64
성북구,심야,외국인,LONG,627.41
성북구,야간,외국인,LONG,603.88
성북구,주간,외국인,LONG,612.61
강북구,심야,외국인,LONG,228.4
강북구,야간,외국인,LONG,211.35
강북구,주간,외국인,LONG,196.58
도봉구,심야,외국인,LONG,138.84
도봉구,야간,외국인,LONG,132.85
도봉구,주간,외국인,LONG,130.68
노원구,심야,외국인,LONG,155.23
노원구,야간,외국인,LONG,147.75
노원구,주간,외국인,LONG,154.04
은평구,심야,외국인,LONG,201.25
은평구,야간,외국인,LONG,189.14
은평구,주간,외국인,LONG,183.31
서대문구,심야,외국인,LONG,1172.08
서대문구,야간,외국인,LONG,1112.72
서대문구,주간,외국인,LONG,1141.25
마포구,심야,외국인,LONG,817.24
마포구,야간,외국인,LONG,866.32
마포구,주간,외국인,LONG,848.4
양천구,심야,외국인,LONG,277.68
양천구,야간,외국인,LONG,279.24
양천구,주간,외국인,LONG,283.84
강서구,심야,외국인,LONG,216.59
강서구,야간,외국인,LONG,211.51
강서구,주간,외국인,LONG,222.14
구로구,심야,외국인,LONG,1702.36
구로구,야간,외국인,LONG,1750.89
구로구,주간,외국인,LONG,1410.41
금천구,심야,외국인,LONG,1328.16
금천구,야간,외국인,LONG,1347.54
금천구,주간,외국인,LONG,1206.11
영등포구,심야,외국인,LONG,1704.53
영등포구,야간,외국인,LONG,1787.92
영등포구,주간,외국인,LONG,1525.19
동작구,심야,외국인,LONG,928.41
동작구,야간,외국인,LONG,873.77
동작구,주간,외국인,LONG,858.33
관악구,심야,외국인,LONG,759.88
관악구,야간,외국인,LONG,721.41
관악구,주간,외국인,LONG,624.53
서초구,심야,외국인,LONG,205.25
서초구,야간,외국인,LONG,248.06
서초구,주간,외국인,LONG,322.95
강남구,심야,외국인,LONG,345.06
강남구,야간,외국인,LONG,432.7
강남구,주간,외국인,LONG,599.6
송파구,심야,외국인,LONG,367.88
송파구,야간,외국인,LONG,391.23
송파구,주간,외국인,LONG,406.68
강동구,심야,외국인,LONG,363.27
강동구,야간,외국인,LONG,349.36
강동구,주간,외국인,LONG,343.51
